country,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,paper pulp and print,textile and leather,transport equipment,wood and wood products,other
FR,-0.045727919315325,-0.0127853454051048,-0.0069955390462642,0.0071919838757696,-0.0394655793723877,-0.0150597362548941,-0.0251911305639852,0.0020621012566833,-0.022923290432009,-0.0350405650997658,-0.0269435526928598,-0.0152020630605078,-0.0103875324804459
GF,0.0041369711641781,0.0096867118170349,0.0031367070581342,0.0036431005914998,0.0004088280330943,0.0041046442036926,-6.972543618177784e-05,0.0023327832477624,0.0041046442036926,0.0041046442036926,-6.972543618177784e-05,0.0008944118773654,0.0119786826292876
PF,-0.0028533436588807,-0.0014994900188527,-0.002444679795147,-0.0018039351387095,-0.0008174766341077,-0.0035551025788448,-8.592552553404742e-05,-0.0018539262085636,-0.0035551025788448,-0.0035551025788448,-8.592552553404742e-05,9.23930323104838e-05,-0.0010334617696968
GA,0.0258386596355548,0.0297195956548265,0.0320816108748348,-0.0005317176065964,-4.24433615677372e-05,0.0369764030900554,-0.000147692154267,-0.0006797770990899,-0.00112695113016,0.0258386596355548,-0.000147692154267,0.032348726584393,0.0293977069224054
GM,-8.391512491898734e-05,0.0561913437364309,-0.0001196612773007,-6.369546202120158e-05,-7.20021066212273e-05,-0.0001048939061487,-7.082485196624466e-05,-0.0001073325122535,-0.0001048939061487,-0.0001048939061487,-7.082485196624466e-05,-3.541242598312233e-05,0.0561913437364307
GE,-0.0691796911099111,-0.0136208671971793,0.0673931029376542,-0.0001156229097381,-0.07,-0.000432545141918,0.0001906247456557,0.0258460295356361,-0.0699999999999999,-0.07,-0.07,-0.07,0.0600442826510311
DE,-0.0371277109038138,-0.0314733912692157,-0.033588436264814,-0.032533555226818,-0.0424091943284347,-0.0467437938219579,-0.0315703296466827,-0.0345978106390292,-0.0458300792149824,-0.056951490115311,-0.0525532012970638,-0.0260405327870502,-0.0342481271691229
GH,0.07,-0.0058174251643608,0.07,0.07,-0.0019899651902201,-0.0404075359135123,-0.0068692626960114,0.0006829085326634,0.07,0.0666486479772296,-0.0068692626960114,0.07,-0.0077634342954843
GI,0.0005842315931082,0.0005471217190412,8.524095791665835e-05,0.0009153651773177,0.0001680351716542,0.0001689769748158,-9.12524188159125e-05,4.229334910310634e-05,0.0001689769748158,0.0001689769748158,-9.12524188159125e-05,-4.56262094079285e-05,0.0007005815315768
GR,0.0589012714342741,0.0077678761654614,0.004516184978993,0.0037223897987382,0.07,0.0354978689503738,-0.0317729632186735,0.0157300131859108,-0.0121517596237299,0.0014744931856112,-0.07,-0.0177986785425977,-0.0097099070635495
