country,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
HN,0.0109262914988303,0.0109262914988303,0.0306610807436457,0.0153840115578127,0.0153840115578127,0.0481100581264869,-0.004,-0.004,0.0367698386185824,0.0034651230472975,-0.07,-0.0005348769527024,0.0128766517098138,6.524310853794901e-07,-0.0685849185882969,0.074,-0.045156081097893,0.0039349555943841,0.0007635489606846,0.0692930552136396,-0.0205686162865868,-6.50444056158328e-05,0.074,-0.045156081097893,0.0039349555943841,0.0307515279405608,0.0135749088576718,-6.50444056158328e-05,-0.0393642374829532,-5.0583590290309566e-05
HU,-0.0168349462769048,-0.0168349462769048,0.0160544268645459,-0.0076266787317553,-0.0076266787317553,0.0406892203093644,-0.039572257771092,-0.039572257771092,-0.0613008291883364,0.0595951349706984,-0.0481804498293639,0.0,0.0040953894243376,0.0297779139197296,0.0152704144813728,-0.017339562896645,-0.0498030376689367,0.0166377617348674,0.0337258017504344,0.0419229346145817,-0.0366239299333679,-0.0399011090325727,-0.017339562896645,-0.0498030376689367,0.0166377617348674,0.0182644889665634,0.0316410738986909,-0.0011857109269791,-0.0277132916293324,-0.0130322074994934
IS,0.0033610906600026,0.0033610906600026,0.0160570602304668,0.0022895496542281,0.0022895496542281,0.0240081975773967,-0.004248068181888,-0.004248068181888,0.0211890849799602,0.0729051546724903,0.0450321494853067,0.0355321077814152,0.066,0.0365925631627522,0.0236415374342978,-0.0101172557901643,0.0064536503209573,0.0137468774492148,-0.0062676813057547,-0.0603209975265476,-0.0062676813057547,0.0097468774492148,-0.0101172557901643,0.0064536503209573,0.0137468774492148,0.0100533327667954,0.0162296214287371,0.0097468774492148,0.0022132064453866,0.0365387755055499
IN,0.0005855304227893,0.0005855304227893,0.0382489727119637,0.0161051396314326,0.0161051396314326,0.0683817427826693,-0.042350312481367,-0.042350312481367,0.074,-0.017138277529827,0.0640056744540909,0.0233547049955771,-0.0081002668494025,0.0350605067185869,-0.0649672168211621,0.060234476609045,0.0052184729019814,-0.0636963582426584,-0.0002996586254406,-0.0233080121023351,0.0258288374774684,0.07,0.060234476609045,0.0052184729019814,-0.0636963582426584,0.0414126688952318,0.0519552801866734,0.0441152293740947,0.0303223701205305,-0.0297619956024839
ID,0.0249502174113397,0.0249502174113397,0.037669776092704,0.0327806492061305,0.0327806492061305,-0.0391914008802504,0.0339128994607295,0.0339128994607295,-0.0295266425107342,-0.066,0.0555031571995219,-0.0193005994810736,0.0263042263133714,0.0233287162512737,0.0356800463841351,0.0708506522340191,-0.07,0.074,-0.0006296351705996,0.0354480056817503,-0.0006296351705996,0.07,0.0708506522340191,-0.07,0.074,0.0326323775461826,0.0314371428625194,0.0426757663453853,0.0011260944929064,-0.0001166826231145
IR,-0.0054339676142064,-0.0054339676142064,0.0413876783888256,0.0061969726273205,0.0061969726273205,0.0323962527570658,-0.0057394554011122,-0.0057394554011122,-0.0658782859922277,0.0497062045247209,-0.0358697277005561,-0.0438585067526879,0.0397546508563245,0.0260341166914386,-0.0166931511829111,0.0168874767344849,-0.07,0.0368106204228956,-0.0001955668726251,-0.0465362079203189,-0.0001955668726251,0.0317650144459016,0.0168874767344849,-0.07,0.0368106204228956,0.0382367390200823,-0.0111534707803883,0.0423887207238089,-0.07,-4.2710799093848006e-05
IQ,0.0023303164003169,0.0023303164003169,0.0657477011379665,0.0008840771870337,0.0008840771870337,0.0202563303743794,-0.004,-0.004,-0.066,-0.066,0.0,0.0330820441216997,0.0037812492844195,0.0396760159490068,1.6743571830818427e-05,0.0031294495828939,-0.0001385003819431,0.004,-0.0002449405362847,0.0,-0.0002449405362847,0.0,0.0031294495828939,-0.0001385003819431,0.004,0.0102104126244705,0.000931514532591,0.0235584284911849,0.007011803762728,-9.652839383478272e-05
IE,-0.0082273751788706,-0.0082273751788706,0.0100971241255295,-0.0024049875222793,-0.0024049875222793,0.0080277252698845,-0.0143624329292472,-0.0143624329292472,0.074,0.0606209806992128,0.07,0.0188986995234116,0.026369806455883,-0.0008036003260321,0.0011756592763841,0.0013430935967924,-0.0187536635366453,-0.0072715555967589,2.7695760209334175e-05,-0.0229678921627472,-0.017443889109445,0.0044220247271917,0.0013430935967924,-0.0187536635366453,-0.0072715555967589,0.0190505353613861,-0.0031451773101108,0.0089278155366597,0.006582695238844,0.0324402883338307
IM,-0.0050956714582351,-0.0050956714582351,-0.0080517410881251,-0.007927620530769,-0.007927620530769,1.4166756557978943e-05,-0.0040652304745947,-0.0040652304745947,0.0039208608577181,0.0040302406838132,-7.561693675847692e-05,3.0240683813298475e-05,-0.0317297373312693,-0.0068448490366999,-5.229056882967431e-05,0.0039825051046092,-8.620303299364251e-05,-0.0191833164463209,-8.789004764275798e-05,-7.26806467926296e-05,-8.789004764275798e-05,0.0001798259026284,0.0039825051046092,-8.620303299364251e-05,-0.0191833164463209,-0.0083713851256916,-4.902888548554494e-05,-0.0231833164463209,-8.676537121001433e-05,-7.281214080329113e-05
IL,-0.0200575372893711,-0.0200575372893711,0.029429213529593,0.0033293627658206,0.0033293627658206,0.0105695277136493,0.0280935520786299,0.0280935520786299,0.0143093122076424,0.0175895044230058,-0.0001251808977041,0.0516459211270614,-0.0039601602549197,0.0654196569459841,7.846749303069833e-05,-0.0650497893407557,0.0001350150619057,0.0047421624107364,0.0001350150619057,0.0164004338455601,0.0001350150619057,0.0007421624107364,-0.0650497893407557,0.0001350150619057,0.0047421624107364,0.0189440809621286,0.0064454544178828,0.0047522858929405,0.0360832247285941,0.0185689360633659
IT,-0.0328617236571422,-0.0328617236571422,-0.0344913349334174,-0.0055346678086275,-0.0055346678086275,-0.00670361593555,-0.0053078756185793,-0.0053078756185793,0.0735973337957499,0.0060689362261185,-0.0202743681349388,0.0069261940617833,-0.0354060401833226,-0.0189018618577377,0.0029027064509423,-0.0317686429349905,-0.0412366839305033,-0.0255798441059328,0.07,-0.0106888023119939,0.0465350170882848,-0.0225788458274786,-0.0317686429349905,-0.0412366839305033,-0.0255798441059328,0.0022587152243942,-0.0137720690360606,-0.0147573648832009,-0.0352628549480453,-0.0398827261236821
JM,0.0059722755783471,0.0059722755783471,0.0143720123615709,-0.0143352230836451,-0.0143352230836451,0.0440028693312458,-0.0039053647020192,-0.0039053647020192,0.074,0.0178615145825847,-0.0031946247877979,0.0391631021443191,0.0650408038299512,0.07,0.0125053396858388,0.0553030743740064,-0.0383219473784292,0.0009356997394643,0.0003397374630828,0.0168945785496315,-0.0692762747141633,-0.07,0.0553030743740064,-0.0383219473784292,0.0009356997394643,0.018180615101878,-0.0414519435710025,-0.0699999999999999,-0.0116951042929089,-9.46365823074798e-05
JP,-0.0270026030774596,-0.0270026030774596,-0.0091103340879946,-0.0076808553137305,-0.0076808553137305,-0.0151559414567832,-0.0156610919116658,-0.0156610919116658,-0.0014426066080066,6.46907839428855e-05,-0.0047448555728379,0.0218375906202836,-0.0012489679301845,0.0056523290947135,0.0135801722421716,-0.016608072885132,-0.0599518967987402,-0.0044478395485065,6.745143491981853e-05,-0.0445175175997235,0.0211563061692842,-0.0061132418942984,-0.016608072885132,-0.0599518967987402,-0.0044478395485065,-0.0064243631550737,-0.0234703957056988,-0.0475333647997067,0.0210654449045912,-0.0007690539847465
JE,-0.0146471862382338,-0.0146471862382338,0.0079839362047491,-0.0097033270245968,-0.0097033270245968,-0.0150874566889802,-0.0037424808696979,-0.0037424808696979,-0.0050535887788877,0.0036552459460712,-0.0328778973512823,-0.0003447540539287,-0.0386469211200263,-0.0045614505554038,-7.779268247472271e-05,-0.0477881884487868,-8.468117464585645e-05,0.0039313109087311,-9.322025795310827e-05,-4.477629139058396e-06,-9.322025795310827e-05,-6.8689091268892e-05,-0.0477881884487868,-8.468117464585645e-05,0.0039313109087311,-0.002926744305528,-0.0335751297179127,-6.8689091268892e-05,-8.752753574827372e-05,-8.835786528553029e-05
JO,0.0085097004843111,0.0085097004843111,0.0385900110611936,0.001128152335264,0.001128152335264,0.0078734761055462,-0.004,-0.004,-0.0247501144552646,-0.0636071210020054,-0.0014814170819248,0.0672462284252841,0.0003748612695804,0.0281636405356837,-0.0010617918110411,0.041800185158081,0.0145151473049196,-0.0307862310100673,0.0,0.038923979081543,0.0,-0.0347862310100673,0.041800185158081,0.0145151473049196,-0.0307862310100673,0.0257512662209704,0.0467507023372813,-0.0347862310100673,0.0292279389442528,0.0338912307272594
KZ,0.0127865009558501,0.0127865009558501,0.031936187016228,0.0081137203200302,0.0081137203200302,-0.0324762236148438,0.0399570548971239,0.0399570548971239,0.0691911003734455,0.073766209261464,-0.063302019678622,-0.07,0.066,0.07,0.0203507735525921,0.0304265859151248,-0.0660670830475745,0.074,0.0042851453786004,-0.0357790286250984,0.0042851453786004,-0.0020512354733808,0.0304265859151248,-0.0660670830475745,0.074,0.0535530362956965,0.0154020155520683,0.054373370319753,-0.0618880954424111,0.025416285051592
KE,0.0460363724968822,0.0460363724968822,0.07,0.0176203581162756,0.0176203581162756,0.0605286857485103,0.010041605555463,0.010041605555463,0.0310360302501656,0.0035663786889801,0.0539511639186889,0.050720810166799,0.0246017372307925,0.0001832363707835,0.0406187408384404,0.074,0.0601985320493418,0.003910585441305,0.0002097529156636,0.0457593568773416,0.0002097529156636,-8.941455869498904e-05,0.074,0.0601985320493418,0.003910585441305,0.0308608213547558,0.0310435984721986,-8.941455869498904e-05,0.0188150856155639,-7.383662850370583e-05
KI,-0.0019443301176319,-0.0019443301176319,0.0193687781109355,0.0068364670938002,0.0068364670938002,0.023550447405709,-0.004,-0.004,0.0370395560608228,0.0167767475181208,0.0616671512715178,0.0,0.0279191555748705,0.0,0.0127519007125905,-0.0122745825818209,0.0025300691443846,0.0039115230845404,-0.0003991276256116,-8.568265859835537e-05,-0.0003991276256116,-8.84769154595455e-05,-0.0122745825818209,0.0025300691443846,0.0039115230845404,0.0476634167721972,0.0116103216353775,-8.84769154595455e-05,0.0025300691443846,-9.475358555077752e-05
