year,market,fuel_type,price_eur_mwh
2018,Brent,oil,40.80490860288099
2019,Brent,oil,36.08824595880741
2020,Brent,oil,23.228958472129694
2021,Brent,oil,37.601664190921134
2022,Brent,oil,49.746213016152325
2023,Brent,oil,38.97048369083039
2024,Brent,oil,36.99285183584264
1972,Dubai,oil,6.53127712837906
1973,Dubai,oil,9.158498063353159
1974,Dubai,oil,30.340630587046093
1975,Dubai,oil,28.577372416736633
1976,Dubai,oil,27.778015203299343
1977,Dubai,oil,29.35410294860265
1978,Dubai,oil,28.715581313207682
1979,Dubai,oil,58.88045289978093
1980,Dubai,oil,62.23577883083337
1981,Dubai,oil,54.25055536866144
1982,Dubai,oil,47.350067140041354
1983,Dubai,oil,41.51951231530609
1984,Dubai,oil,38.80546676507181
1985,Dubai,oil,36.76332068377382
1986,Dubai,oil,17.174398434296034
1987,Dubai,oil,21.43937712299781
1988,Dubai,oil,16.008530144926393
1989,Dubai,oil,18.065301850737498
1990,Dubai,oil,22.218335400305268
1991,Dubai,oil,17.6181440305908
1992,Dubai,oil,17.59487885561047
1993,Dubai,oil,14.905775580601015
1994,Dubai,oil,14.242767492237142
1995,Dubai,oil,15.160791318473594
1996,Dubai,oil,17.638194677098635
1997,Dubai,oil,16.392081326190983
1998,Dubai,oil,10.842721416805974
1999,Dubai,oil,14.575803339323736
2000,Dubai,oil,21.920361809380918
2001,Dubai,oil,18.482297265152173
2002,Dubai,oil,18.849578015866637
2003,Dubai,oil,20.889437989408027
2004,Dubai,oil,25.489614211665486
2005,Dubai,oil,34.41745606473422
2006,Dubai,oil,43.81916762281934
2007,Dubai,oil,47.06858975175858
2008,Dubai,oil,62.92022762617665
2009,Dubai,oil,40.949068178636345
2010,Dubai,oil,51.25316510894959
2011,Dubai,oil,67.66670117944093
2012,Dubai,oil,68.25362962299732
2013,Dubai,oil,65.05399525261345
2014,Dubai,oil,58.88677325754175
2015,Dubai,oil,31.051377408973444
2016,Dubai,oil,24.557974274643655
2017,Dubai,oil,31.08005423313671
2018,Dubai,oil,40.141135023027644
2019,Dubai,oil,35.807228625379544
2020,Dubai,oil,23.545414168332222
2021,Dubai,oil,36.5411180284357
2022,Dubai,oil,47.320765993848816
2023,Dubai,oil,38.71112059753469
2024,Dubai,oil,36.46608388622379
1976,Forcados,oil,32.50027778786023
1977,Forcados,oil,33.6931989418129
1978,Forcados,oil,30.08194051613852
1979,Forcados,oil,57.890865456087134
1980,Forcados,oil,64.4852648126707
1981,Forcados,oil,57.190707844935055
1982,Forcados,oil,49.56867091484202
1983,Forcados,oil,42.61592751195767
1984,Forcados,oil,38.91610245078834
1985,Forcados,oil,37.05710675534774
1986,Forcados,oil,18.957389416787837
1987,Forcados,oil,23.260775533447184
1988,Forcados,oil,18.219116249916226
