fuel_type,country,market
gas,SS,JKM
gas,SV,JKM
gas,SY,JKM
gas,SZ,JKM
gas,TD,JKM
gas,TG,JKM
gas,TH,UK_NBP
gas,TJ,JKM
gas,TL,UK_NBP
gas,TM,JKM
gas,TN,JKM
gas,TR,UK_NBP
gas,TT,JKM
gas,TW,UK_NBP
gas,TZ,JKM
gas,UA,Netherlands_TTF
gas,UG,JKM
gas,US,Henry_Hub
gas,UY,JKM
gas,UZ,JKM
gas,VE,JKM
gas,VN,UK_NBP
gas,XK,Netherlands_TTF
gas,YE,JKM
gas,ZA,JKM
gas,ZM,JKM
gas,ZW,JKM
oil,AD,Brent
oil,AE,Dubai
oil,AF,Dubai
oil,AL,Brent
oil,AM,Brent
oil,AO,Forcados
oil,AR,WTI
oil,AT,Brent
oil,AU,Dubai
oil,AZ,Brent
oil,BA,Brent
oil,BD,Dubai
oil,BE,Brent
oil,BF,Forcados
oil,BG,Brent
oil,BH,Dubai
oil,BI,Dubai
oil,BJ,Forcados
oil,BN,Dubai
oil,BO,WTI
oil,BR,WTI
oil,BS,WTI
oil,BT,Dubai
oil,BW,Forcados
oil,BY,Brent
oil,BZ,WTI
oil,CA,WTI
oil,CD,Forcados
oil,CF,Forcados
oil,CG,Forcados
oil,CH,Brent
oil,CI,Forcados
oil,CL,WTI
oil,CM,Forcados
oil,CN,Dubai
oil,CO,WTI
oil,CR,WTI
oil,CU,WTI
oil,CY,Brent
oil,CZ,Brent
oil,DE,Brent
oil,DJ,Dubai
oil,DK,Brent
oil,DO,WTI
oil,DZ,Brent
oil,EC,WTI
oil,EE,Brent
oil,EG,Brent
oil,EH,Brent
oil,ER,Dubai
oil,ES,Brent
oil,ET,Dubai
oil,FI,Brent
oil,FR,Brent
oil,GA,Forcados
oil,GB,Brent
oil,GE,Brent
oil,GF,WTI
oil,GH,Forcados
oil,GL,Brent
oil,GM,Forcados
oil,GN,Forcados
oil,GQ,Forcados
oil,GR,Brent
oil,GT,WTI
oil,GW,Forcados
oil,GY,WTI
oil,HN,WTI
oil,HR,Brent
oil,HT,WTI
oil,HU,Brent
oil,ID,Dubai
oil,IE,Brent
oil,IL,Dubai
oil,IN,Dubai
oil,IQ,Dubai
oil,IR,Dubai
oil,IS,Brent
oil,IT,Brent
oil,JM,WTI
oil,JO,Dubai
oil,JP,Dubai
oil,KE,Dubai
oil,KG,Dubai
oil,KH,Dubai
oil,KP,Dubai
oil,KR,Dubai
oil,KW,Dubai
oil,KZ,Dubai
oil,LA,Dubai
oil,LB,Dubai
oil,LK,Dubai
oil,LR,Forcados
oil,LS,Forcados
oil,LT,Brent
oil,LU,Brent
oil,LV,Brent
oil,LY,Brent
oil,MA,Brent
oil,MD,Brent
oil,ME,Brent
oil,MG,Dubai
oil,MK,Brent
oil,ML,Forcados
oil,MM,Dubai
oil,MN,Dubai
oil,MR,Forcados
oil,MT,Brent
oil,MW,Forcados
oil,MX,WTI
oil,MY,Dubai
oil,MZ,Dubai
oil,NA,Forcados
oil,NE,Forcados
oil,NG,Forcados
oil,NI,WTI
oil,NL,Brent
oil,NO,Brent
oil,NP,Dubai
