country,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
NE,0.0165514901202449,0.0165514901202449,0.0388113639271432,0.0293981859885055,0.0293981859885055,0.0307957643193203,-0.001438644466247,-0.001438644466247,-0.009400085108308,0.0463048510797929,-0.0011938602842412,0.0,0.068,0.0326301765446628,-0.0005969301421206,0.072,-0.0242764394224978,0.0019309097832326,-0.0326683742013773,0.07,-0.0203381658292103,-6.90902167673757e-05,0.072,-0.0242764394224978,0.0019309097832326,0.0525301480995494,0.0332093249606906,-6.90902167673757e-05,-0.0236232841911765,-8.23106716751898e-05
NG,0.0070294645523302,0.0070294645523302,0.0208395670127576,0.0107551227352607,0.0107551227352607,0.0303839041066833,0.0296047838040061,0.0296047838040061,-0.068,0.0519547847657249,0.0660128273282218,-0.0520114228131937,0.0206706361542849,0.0,0.0117545150079763,0.072,0.0170883936569906,-0.068,0.0,0.0048438959154634,0.0175059588712944,0.0,0.072,0.0170883936569906,-0.068,0.018568076108536,0.0519426303388741,-0.0081989067881224,-0.0018167181694039,0.015020186979232
NU,-0.0090885467583372,-0.0090885467583372,0.0094616496109058,0.0092307039336438,0.0092307039336438,0.0182567871779809,-0.0019417326939864,-0.0019417326939864,0.0248839880236917,0.0090371651852014,-0.0405154011971751,0.0013492041559884,0.0050024550568128,0.0,0.0475280635230718,0.0058028956302619,-0.0349789840934893,0.0019104481882155,0.0009018550812395,0.0311080574083076,0.0009018550812395,-8.95518117844385e-05,0.0058028956302619,-0.0349789840934893,0.0019104481882155,0.0107556093016264,0.0287630539917488,-8.95518117844385e-05,-0.0349789840934893,0.0067935316373565
MK,0.0042840322816274,0.0042840322816274,0.0008741250835383,-0.0108827907831252,-0.0108827907831252,0.0446654555265103,-0.0555191889890204,-0.0555191889890204,-0.031664800076675,0.0172978086580672,-8.548643345157592e-05,0.0005193381403612,0.026468836867499,0.0104559428449539,-0.0094029421248346,-0.0457883149445349,-0.0133595882105828,0.072,0.0089592537875902,-0.07,0.07,-0.07,-0.0457883149445349,-0.0133595882105828,0.072,0.0096532227696628,-0.0139909588976557,0.0340090176754422,-0.0107946191527677,0.0218104295833677
MP,0.0031035001672078,0.0031035001672078,-0.0178214308682032,-0.0003674550745958,-0.0003674550745958,-0.01386222828439,-0.001354051544307,-0.001354051544307,0.072,0.0072984305291146,0.0002843682089498,0.0224568159275053,-0.0016553646068498,0.0003446353931501,0.0013439253512567,0.0074737007649553,-7.70510023332116e-05,0.0019138507390014,-7.950504353015919e-05,0.0003511986129951,-7.950504353015919e-05,-8.614926099853593e-05,0.0074737007649553,-7.70510023332116e-05,0.0019138507390014,-0.0303123832950406,0.0049707074521102,-8.614926099853593e-05,-7.786901606552747e-05,-8.458212789219655e-05
NO,-0.0411835301012105,-0.0411835301012105,-0.0256672001427787,-0.031067653176389,-0.031067653176389,-0.0303345266698598,-0.0453025875059064,-0.0453025875059064,-0.0015236910698654,-0.0146741854131183,-0.0314766730950105,-0.0057057371789662,-0.03264461369697,-0.0146740144236897,0.0084921492757872,-0.0679999999999999,0.0083330613279142,-0.0638836516315458,0.0,-0.017353179047572,-0.004272819961014,-0.07,-0.0679999999999999,0.0083330613279142,-0.0638836516315458,0.0080041923256501,-0.027032710818541,-0.0105252059509007,0.0105485266633394,0.0549171250511888
OM,0.0180890376958186,0.0180890376958186,0.0375498717234992,0.0271168343486093,0.0271168343486093,-0.0091106111673733,-0.0013231509903822,-0.0013231509903822,0.0214778445207018,-0.038072225874165,0.0078435916853328,0.07,0.0452109025344644,0.0430872888971521,0.0040706492461456,0.0295391416923413,0.0227279713951145,0.002,0.0001888456331669,0.0052290611235552,0.0001888456331669,0.0578385281032507,0.0295391416923413,0.0227279713951145,0.002,0.0440668989326461,0.0470438464523414,0.0183173896169342,0.0227279713951145,-8.560603109786236e-05
PK,0.0150437817939822,0.0150437817939822,0.042272472750122,0.0357682714462745,0.0357682714462745,-0.0340783329836416,0.0263785088806538,0.0263785088806538,-0.0260496266450262,0.0243001004128513,0.0003346501552729,-0.07,0.0488030987244358,0.0210086352090632,-0.07,0.0629223073279758,0.0024000214919674,-0.0201909834379966,0.0106451355444098,0.033134808884116,0.0132137966241999,0.0479213815523461,0.0629223073279758,0.0024000214919674,-0.0201909834379966,0.035134701334479,0.0336296587919705,-0.039177836934015,0.0027575580265492,-0.0297638065584028
PW,-0.0043137448629655,-0.0043137448629655,0.037415630550705,0.0009829541817392,0.0009829541817392,-0.0205002906171967,-0.002,-0.002,0.001914538311302,-0.0286474581730154,0.0168279752973826,0.0042847443705035,-0.0020239664387882,-0.0002438839857089,0.0058019954833451,0.0041423721852517,-0.0189991878183238,0.0019155810441753,-8.664011067249788e-05,0.0061268422322424,-8.664011067249788e-05,-8.441895582467218e-05,0.0041423721852517,-0.0189991878183238,0.0019155810441753,0.0261703908180848,0.0062869574584799,-8.441895582467218e-05,-0.0189991878183238,-7.52256877072921e-05
PA,0.0284112518815264,0.0284112518815264,0.0308359278283976,0.0220450976868299,0.0220450976868299,0.0316564105191409,-0.0013030253332404,-0.0013030253332404,0.0060370221686846,0.0460632626917051,0.0008308755288974,-0.07,0.0268401898553782,0.07,-0.0332697981867753,0.072,0.0112353605790097,0.0019983950655695,0.0150073177525256,0.0463344880738464,0.0150073177525256,-1.6049344304103208e-06,0.072,0.0112353605790097,0.0019983950655695,0.0553552721240566,0.0102431992005453,-1.6049344304103208e-06,0.0093839565381222,-2.4929475746393592e-05
