,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
7279,Taipingwan,Hydro,Reservoir,PP,CN,217.98550442845743,,,0.0,0.0,0.0,1985.0,1985.0,2085.0,40.3529,124.7333,{nan},"{'GEM': {'G604116'}, 'GHPT': {'G604116'}}"
7280,Taipingyi,Hydro,Run-Of-River,PP,CN,317.8955272915004,,,0.0,0.0,0.0,1994.0,1994.0,2094.0,31.0542,103.4879,{nan},"{'GEM': {'G601198'}, 'GHPT': {'G601198'}}"
7281,Taishun,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2028.0,2028.0,2128.0,27.6666,119.785,{nan},"{'GEM': {'G601199'}, 'GHPT': {'G601199'}}"
7282,Taleidesai,Hydro,Reservoir,PP,CN,90.82729351185726,,,0.0,0.0,0.0,2016.0,2016.0,2116.0,43.4205,83.0633,{nan},"{'GEM': {'G601204'}, 'GHPT': {'G601204'}}"
7283,Tianqiao,Hydro,Run-Of-River,PP,CN,145.32366961897162,,,0.0,0.0,0.0,1977.0,1977.0,2077.0,39.0641,111.133,{nan},"{'GEM': {'G601215'}, 'GHPT': {'G601215'}}"
7284,Tankeng,Hydro,Reservoir,PP,CN,681.2047013389295,,,0.0,0.0,0.0,2009.0,2009.0,2109.0,28.0812,120.0098,{nan},"{'GEM': {'G601206'}, 'GHPT': {'G601206'}}"
7285,Taoyuan,Hydro,Run-Of-River,PP,CN,204.36141040167885,,,0.0,0.0,0.0,2014.0,2014.0,2114.0,28.8977,111.4893,{nan},"{'GEM': {'G601207'}, 'GHPT': {'G601207'}}"
7286,Three Gorges Dam,Hydro,Reservoir,PP,CN,25545.176300209856,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,30.8369,111.018,{nan},"{'GEM': {'G601208'}, 'GHPT': {'G601208'}}"
7287,Tianchi,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2023.0,2023.0,2123.0,33.5611,112.2498,{nan},"{'GEM': {'G601210'}, 'GHPT': {'G601210'}}"
7288,Tianhuaban,Hydro,Reservoir,PP,CN,204.36141040167885,,,0.0,0.0,0.0,2011.0,2011.0,2111.0,27.048,103.2746,{nan},"{'GEM': {'G601212'}, 'GHPT': {'G601212'}}"
7289,Tianhuangping,Hydro,Pumped Storage,PP,CN,286.5071422072605,,,0.0,0.0,0.0,2000.0,2000.0,2100.0,30.4702,119.5976,{nan},"{'GEM': {'G601213'}, 'GHPT': {'G601213'}}"
7290,Tianlonghu,Hydro,Reservoir,PP,CN,204.36141040167885,,,0.0,0.0,0.0,2004.0,2004.0,2104.0,31.9791,103.6686,{nan},"{'GEM': {'G601214'}, 'GHPT': {'G601214'}}"
