country,year,total residential space,total residential water,electricity residential,total services space,total services water,total road,total rail,electricity rail,total domestic aviation,total international aviation,total domestic navigation,total international navigation,services electricity,agriculture electricity,agriculture oil,residential oil,residential biomass,residential gas,agriculture biomass,services oil,services biomass,services gas,residential heat oil,residential heat biomass,residential heat gas,other electricity,other oil,other gas,other biomass,other heat
AL,2045,-0.0481666666666666,-0.0481666666666666,0.06,-0.0040190618904162,-0.0040190618904162,0.0371838144062184,0.0191670528820335,0.0191670528820335,0.0,0.0493786613633517,0.07,-0.07,0.06,0.06,0.052564154080342,-0.073,-0.073,0.067,-0.073,-0.0700762475616649,-0.073,0.067,-0.0715,-0.073,0.0645378552138562,-0.0485814401853655,-0.0239651299239213,0.07,-0.07,0.07
AL,2050,0.0451666666666666,0.0451666666666666,-0.08,-0.00475,-0.00475,-0.0541458758743306,-0.08,-0.08,0.0,0.0395719974740123,-0.07,0.07,-0.08,-0.08,-0.0586612701882598,0.067,0.067,-0.073,0.067,0.067,0.067,-0.073,0.0685,0.067,-0.0715,0.0491106985579808,0.0246533031979368,-0.07,0.07,-0.07
DZ,2025,-0.0175197151865166,-0.0175197151865166,0.06,0.0115915769548909,0.0115915769548909,0.058954233629046,0.06,0.06,0.07,0.07,-0.0400630276894742,-0.020464488884326,0.0448733278933879,0.06,0.0410391893660377,-0.0465591455595499,-0.073,0.067,-0.073,0.0074929799261757,-0.073,0.067,-0.0465591455595499,-0.073,0.067,0.07,0.018454532179949,0.0699999999999999,-0.07,0.07
DZ,2030,0.0367348452872058,0.0367348452872058,-0.0554141208349075,0.0115375670507498,0.0115375670507498,-0.0004442436372172,0.0015817994824023,0.0015817994824023,0.07,0.0172658238908223,-0.07,0.0378027897699202,-0.08,-0.0385512572432001,0.0216355715138132,0.0227454214560974,0.067,0.062800303583539,0.067,-0.0078497317970004,0.067,0.067,0.0463727107280487,0.067,0.0371910515329707,-0.0630165196532033,-0.0054479892886111,0.0581003725588911,0.07,0.07
DZ,2035,0.0048328281883539,0.0048328281883539,0.06,-0.0142495573033773,-0.0142495573033773,0.0086075561106804,0.0392728695115977,0.0392728695115977,0.07,-0.07,0.0147274345468561,-0.07,-0.0644225190507086,0.06,0.0013964036232521,-0.073,-0.073,0.067,-0.073,0.0134242898371992,-0.073,0.067,-0.0715,-0.073,0.0581364347557988,0.07,-0.0315653045230898,0.0699999999999999,-0.07,0.07
DZ,2040,0.0073615176952579,0.0073615176952579,-0.0554141208349077,0.0110228889047811,0.0110228889047811,0.0196698112384372,-0.0055846682073576,-0.0055846682073576,0.0616197783549103,0.0172658238908223,-0.07,0.03780278976992,-0.08,-0.0385512572432001,0.0187092199387139,0.0227454214560974,0.067,-0.073,0.067,-0.0015282227357858,0.067,0.0586197783549106,0.0463727107280487,0.067,-0.0342923341036788,-0.07,-0.0081701283381989,-0.0699999999999999,0.07,0.07
DZ,2045,-0.0124817378922778,-0.0124817378922778,0.06,-0.0235694686566967,-0.0235694686566967,-0.0195666856518995,-0.0037020093196556,-0.0037020093196556,0.0470453141971403,-0.07,0.0147274345468561,-0.07,-0.0644225190507086,0.06,-0.0161519353635031,-0.073,-0.073,0.067,-0.073,-0.0009006697732185,-0.073,0.0440453141971403,-0.0715,-0.073,0.0366489953401721,0.07,-0.0534803558261039,0.0699999999999999,-0.07,0.07
DZ,2050,-0.0322090964239837,-0.0322090964239837,-0.0554141208349075,-0.0010679689359401,-0.0010679689359401,-0.0202464310471378,-0.08,-0.08,0.0380614575895725,0.0172658238908223,-0.07,0.03780278976992,-0.08,-0.0385512572432001,0.0070180862085317,0.0227454214560977,0.067,-0.073,0.067,-0.0263333333333333,0.067,0.0350614575895725,0.0463727107280488,0.067,-0.0715,-0.07,-0.0237195527128,-0.0699999999999999,0.07,-0.07
AS,2025,-0.073,-0.073,-0.08,-0.07475,-0.07475,-0.07,-0.08,-0.08,-0.07,-0.07,-0.07,-0.07,-0.08,-0.08,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.073,-0.07,-0.07,-0.07,-0.07,-0.07
AS,2030,-0.0045627243695808,-0.0045627243695808,0.0241718860000095,-0.0021730953287321,-0.0021730953287321,0.0121474032978118,-0.01,-0.01,-0.0392015919240119,-0.07,0.0,-0.07,0.0007890982750904,-0.0141624446886542,-0.003,-0.038,-0.0023832000784009,-0.0042501075340617,-0.0022313720559572,-0.003,-0.0022313720559572,-0.0042501075340617,-0.0186156860279786,-0.0023832000784009,0.0311839856856122,0.0009924229253998,0.0001690982486252,-0.0012501075340617,0.0006674092624135,0.0003733092286285
